laser_index++, leftRange, mleftRange, frontRange, mrightRange, rightRange
0,0.316182,0.416891,2.21225,3.10064,2.20809
1,0.29146,0.433069,2.21601,3.10088,2.1955
2,0.314041,0.423965,2.21638,3.09289,2.20662
3,0.289402,0.427248,2.17733,3.08566,2.20819
4,0.324756,0.41174,2.14235,3.03307,2.2043
5,0.295724,0.422597,2.10487,2.98147,2.20296
6,0.318161,0.425542,2.07891,2.9462,2.22252
7,0.302523,0.42043,2.05095,2.91527,2.18881
8,0.282577,0.409856,2.01689,2.8664,2.19634
9,0.292243,0.409518,1.99504,2.81884,2.19865
10,0.305358,0.422296,1.97153,2.79545,2.1949
11,0.311023,0.418627,1.94422,2.75501,2.19124
12,0.300347,0.408553,1.90024,2.69764,2.1984
13,0.300664,0.41892,1.87191,2.65055,2.18961
14,0.299525,0.415493,1.8459,2.60705,2.18884
15,0.293632,0.41571,1.81112,2.5806,2.18704
16,0.310416,0.427697,1.80014,2.52146,2.19438
17,0.286615,0.414162,1.76492,2.48089,2.20031
18,0.309402,0.434,1.74818,2.43488,2.19466
19,0.313122,0.418314,1.69246,2.41403,2.20465
20,0.311157,0.416757,1.6756,0.779693,2.18858
21,0.291651,0.417063,1.6269,0.735274,2.20058
22,0.297191,0.427985,1.59431,0.678253,1.33567
23,0.270778,0.432668,1.57681,0.658703,1.30517
24,0.307573,0.415637,1.54222,0.618181,1.27689
25,0.317107,0.418143,1.52847,0.593931,1.28644
26,0.29714,0.410748,1.47663,0.562683,1.2623
27,0.311672,0.433938,1.45304,0.544663,1.25444
28,0.313418,0.402434,1.42795,0.544863,1.29023
29,0.318295,0.410813,1.38408,0.525789,1.32245
30,0.300249,0.421506,1.38382,0.536894,2.19257
31,0.299568,0.430716,1.31984,0.53278,2.19862
32,0.298156,0.421924,1.299,1.85861,1.84463
33,0.288652,0.424066,1.25575,1.79206,1.8015
34,0.300966,0.422001,1.24475,1.75723,1.78075
35,0.30389,0.428984,1.21057,1.73463,1.77669
36,0.298642,0.434731,1.16356,1.75551,1.79086
37,0.294065,0.461594,1.16384,1.8218,2.2029
38,0.306002,0.507995,1.15473,1.88613,2.21713
39,0.331757,0.555991,1.13064,1.95944,1.4001
40,0.337994,0.607065,1.11155,2.09103,1.33297
41,0.333901,0.686719,1.09129,2.23068,1.31896
42,0.360134,0.775617,1.08619,2.3814,1.30779
43,0.367774,0.907504,1.06718,2.32911,1.34203
44,0.402576,1.03644,0.737122,2.26855,1.36698
45,0.425477,0.988075,0.703868,2.21936,2.43425
46,0.460775,0.925991,0.65037,2.15503,2.48845
47,0.468691,0.900101,0.633699,2.13509,2.56009
48,0.51946,0.875087,0.624524,2.09587,2.62901
49,0.564714,0.843259,0.651376,2.07679,0.347893
50,0.610817,0.831083,1.14809,2.03474,0.302874
51,0.70486,0.800211,1.17019,2.03698,0.277124
52,0.757721,0.791004,1.22865,2.01254,0.268327
53,0.855419,0.778827,1.26174,1.98225,0.25
54,0.910912,0.761322,1.33206,2.00175,0.444401
55,0.850102,0.460052,1.42425,1.56899,0.472982
56,0.814426,0.378747,1.51585,1.53642,0.46632
57,0.793003,0.360201,1.65118,1.54451,0.466668
58,0.755962,0.348517,1.83743,1.99348,0.484329
59,0.738344,0.342569,1.91948,2.01041,0.470784
60,0.701195,0.389277,1.86995,2.05636,0.45115
61,0.705822,0.797674,1.81107,2.08145,0.467951
62,0.330727,0.792834,1.77183,2.12706,0.47227
63,0.303208,0.823827,1.71386,1.17395,0.474854
64,0.284738,0.867463,1.66986,1.11021,0.454775
65,0.295249,0.907054,1.64957,1.0663,0.429725
66,0.315685,0.948677,1.61436,1.05686,0.466935
67,0.675193,1.00064,1.5916,1.05112,0.25
68,0.648728,1.05764,1.58631,1.04199,0.266604
69,0.688359,1.17651,1.54809,2.21236,0.298515
70,0.702382,1.28013,1.54824,2.13781,0.323321
71,0.725409,1.41593,1.54533,2.06376,0.357753
