transX, transY
2.51225, 0.3
0.594786, 0.594786
0.3, 0.616182
0.3, 0
2.49248, 0
0.301769, 2.51601
0, 0.60647
0.00854344, 0.300232
2.4955, 0.298251
2.4944, 2.49091
0.301778, 2.51638
0.00046041, 0.600027
0, 0.30025
2.50663, 0.298239
2.48876, 2.48526
0.303275, 2.49828
0, 0.623513
0.0106745, 0.321384
2.50827, 0.317714
2.48517, 2.49964
0.304063, 2.49295
0.00951202, 0.642287
0, 0.351206
2.50442, 0.346551
2.44877, 2.49136
0.303964, 2.48548
0.00189511, 0.679972
0.00445526, 0.381145
2.50313, 0.376651
2.41219, 2.48504
0.303869, 2.48952
0, 0.712046
0, 0.411173
2.52275, 0.406733
2.38715, 2.49025
0.304065, 2.49156
0.00355059, 0.738453
0, 0.441174
2.4891, 0.43659
2.36549, 2.49823
0.304487, 2.4875
0.011136, 0.761021
0.0177768, 0.471195
2.49668, 0.466114
2.33136, 2.49331
0.305017, 2.49565
0.0115178, 0.790852
0.00818143, 0.501286
2.49907, 0.495551
2.29823, 2.48924
0.305343, 2.50213
0.00262628, 0.829953
0, 0.531362
2.4954, 0.525221
2.28203, 2.50243
0.305273, 2.50483
0.00528017, 0.857342
0, 0.561365
2.49181, 0.555324
2.25336, 2.50399
0.304824, 2.49085
0.0123975, 0.880141
0.000306375, 0.591277
2.49905, 0.585792
2.21235, 2.49394
0.304304, 2.49253
0.00506645, 0.91741
5.57314e-05, 0.621198
2.49033, 0.616429
2.17853, 2.49125
0.303983, 2.49652
0.00749061, 0.944933
0.00125327, 0.651146
2.48962, 0.646825
2.14744, 2.49088
0.304008, 2.49175
0.00739828, 0.975092
0.00720176, 0.681141
2.48787, 0.676793
2.12879, 2.50218
0.304351, 2.51076
0, 1.01363
0, 0.711221
2.49527, 0.706408
2.08726, 2.49014
0.304787, 2.50554
0.00873632, 1.03411
0.0143427, 0.741244
2.50127, 0.735847
2.05901, 2.49107
0.305187, 2.5188
0, 1.07823
0, 0.771356
2.49568, 0.765402
2.02684, 2.48824
0.305193, 2.49307
0.00603017, 1.09713
0, 0.801376
2.50575, 0.795299
2.0122, 2.50347
0.304957, 2.50622
0.00715624, 1.12598
0, 0.831324
2.48976, 0.825695
0.85375, 1.38071
0.304468, 2.48752
0.00692756, 1.15612
0.00960121, 0.861204
2.50183, 0.856277
0.822196, 1.37952
0.304088, 2.48494
0, 1.19379
0.00412127, 0.89115
1.63698, 0.888307
0.781744, 1.36939
0.304022, 2.49744
0, 1.22709
0.0305886, 0.92109
1.60654, 0.918435
0.767924, 1.38562
0.304203, 2.49285
0.00805262, 1.24506
0, 0.951188
1.57831, 0.94833
0.73933, 1.38696
0.304588, 2.5091
0.00641203, 1.2769
0, 0.981275
1.58792, 0.978017
0.722308, 1.39975
0.30491, 2.48725
0.0117708, 1.30173
0.00441284, 1.0113
1.56384, 1.00776
0.700333, 1.4076
0.305092, 2.49366
0, 1.3482
0, 1.04137
1.55606, 1.03764
0.68768, 1.42484
0.304977, 2.49858
0.0177929, 1.35585
0, 1.07135
1.59193, 1.06767
0.687862, 1.45502
0.304603, 2.48471
0.0118792, 1.39172
0, 1.10128
1.62422, 1.09793
0.674322, 1.47166
0.30429, 2.51446
0.00431502, 1.42922
0.00158677, 1.13117
2.4944, 1.12675
0.68215, 1.50961
0.304055, 2.48048
0, 1.4657
0.00232249, 1.16113
2.50051, 1.15703
0.67924, 1.53676
0.304152, 2.48964
0.00410564, 1.48949
0.00378825, 1.19115
2.14657, 1.18751
1.61841, 2.50264
0.304381, 2.47639
0.00270926, 1.52107
0.0133494, 1.22119
2.10349, 1.21723
1.57158, 2.48541
0.304739, 2.49539
0.00430742, 1.54968
0.00110056, 1.25128
2.08281, 1.24681
1.54728, 2.49052
0.319406, 2.48849
0.0032389, 1.58565
0, 1.28235
2.07876, 1.25286
1.54608, 2.4871
0.355682, 2.46883
0.00987221, 1.62745
0.00471939, 1.31997
2.09208, 1.22546
1.59926, 2.49038
0.409488, 2.49483
0.0092014, 1.69009
0.0120889, 1.36211
2.49896, 1.13786
1.70366, 2.50301
0.469798, 2.50814
0.00281336, 1.7707
0.00523402, 1.40758
2.50355, 1.05454
1.81542, 2.49873
0.529616, 2.5033
0.00238798, 1.85485
0, 1.45723
1.68701, 1.12524
1.93832, 2.48787
0.589345, 2.5006
0.00707992, 1.94314
0, 1.50457
1.61207, 1.09831
2.11279, 2.49712
0.647476, 2.49368
0.00532794, 2.05742
0.00760938, 1.5487
1.58749, 1.06296
2.29799, 2.4947
0.709162, 2.49843
0.00931651, 2.18192
0, 1.60216
1.56401, 1.02895
2.49591, 2.48103
0.764873, 2.48741
0.00772584, 2.34763
0.00809949, 1.6499
1.58097, 0.979472
