number of cycle, robot velocity
0,-1.58596e-05
1,-6.83387e-06
2,0.252014
3,0.30073
4,0.300333
5,0.300129
6,0.300041
7,0.29998
8,0.299989
9,0.300004
10,0.300027
11,0.300044
12,0.300057
13,0.300014
14,0.299998
15,0.299981
16,0.299984
17,0.299992
18,0.300017
19,0.300039
20,0.300048
21,0.300031
22,0.300005
23,0.29999
24,0.299969
25,0.299986
26,0.300007
27,0.300032
28,0.300046
29,0.300057
30,0.300009
31,0.299995
32,0.299972
33,0.29998
34,0.275085
35,0.291756
36,0.294639
37,0.292043
38,0.292308
39,0.290503
40,0.293496
41,0.292848
42,0.292367
43,0.292859
44,0.290563
45,0.290532
46,0.292296
47,0.291394
48,0.291356
49,0.290668
50,0.291257
51,0.292517
52,0.293229
53,0.292292
54,0.292194
55,0.295847
56,0.290844
57,0.29196
58,0.292179
59,0.291942
60,0.294305
61,0.295859
62,0.29584
63,0.295865
64,0.294134
65,0.296124
66,0.294742
67,0.29212
68,0.291929
69,0.291851
70,0.294078
71,0.290884
72,0.29176
73,0.489045
74,0.500028
75,0.49943
76,0.49986
77,0.499948
78,0.500069
79,0.499976
80,0.499981
81,0.500056
82,0.500012
83,0.49999
84,0.499908
85,0.499974
86,0.311567
87,0.289629
88,0.290705
89,0.29203
90,0.295835
91,0.295917
92,0.296007
93,0.292073
94,0.296366
95,0.290954
96,0.291486
97,0.291663
98,0.291778
99,0.29177
100,0.291393
101,0.29687
102,0.299022
103,0.299868
104,0.299917
105,0.299983
106,0.300021
107,0.300041
108,0.300062
109,0.300023
110,0.299999
111,0.3
112,0.299984
113,0.299992
114,0.300016
115,0.300037
116,0.300055
117,0.30005
118,0.300002
119,0.299998
120,0.300005
121,0.299986
122,0.300008
123,0.300031
124,0.300045
125,0.300058
126,0.30001
127,0.280612
128,0.298896
129,0.301219
130,0.298583
131,0.0493332
132,0.00102725
133,-5.34545e-05
134,2.21065e-05
135,2.33229e-05
136,1.40821e-05
137,7.58343e-06
138,4.41128e-06
139,3.15578e-06
140,2.75267e-06
141,2.66227e-06
142,2.66258e-06
143,2.67831e-06
144,2.69025e-06
145,2.6967e-06
146,2.69956e-06
147,2.70065e-06
148,2.70098e-06
149,2.70103e-06
150,2.701e-06
151,2.70096e-06
152,2.70092e-06
153,2.70088e-06
154,2.70084e-06
155,2.70081e-06
156,2.70078e-06
157,2.70075e-06
158,2.70071e-06
159,2.70068e-06
160,2.70064e-06
161,2.70061e-06
162,2.70058e-06
163,2.70054e-06
164,2.70051e-06
165,2.70047e-06
